site_code,site_name,start_url,page_url
cceiDaejeon,대전창조경제혁신센터,https://ccei.creativekorea.or.kr/daejeon/custom/notice_list.do?&sPtime=all&page=1,https://ccei.creativekorea.or.kr/daejeon/custom/notice_list.do?&sPtime=all&page={next_page}
dicia,대전정보문화산업진흥원,https://www.dicia.or.kr/sub.do;jsessionid=2A64958CBD7EF4D3110AFE9D2BF94252.tomcat?menuIdx=MENU_000000000000055,JavaScript pagination
cbf,(재)춘천바이오산업진흥원,http://www.cbf.or.kr/twb_bbs/bbs_list.php?bcd=01_05_01_00_00,http://www.cbf.or.kr/twb_bbs/bbs_list.php?bcd=01_05_01_00_00&page={next_page}
kiria,한국로봇산업진흥원,https://kiria.org/portal/info/portalInfoNotiList.do;jsessionid=520472C1F39076F8FF64859FDA134332,JavaScript pagination
gsif,강릉과학산업진흥원,https://mybiz.gsipa.or.kr/gsipa/bbs_list.do?code=sub03a&keyvalue=sub03,JavaScript pagination
djbaAnnc,대전일자리경제진흥원 - 유관기관,https://www.djbea.or.kr/pms/st/st_0205/list,https://www.djbea.or.kr/pms/st/st_0205/list?cPage={next_page}
cceiGyeongnam,경남창조경제혁신센터,https://ccei.creativekorea.or.kr/gyeongnam/allim/allim_list.do?div_code=1,https://ccei.creativekorea.or.kr/gyeongnam/allim/allim_list.do?div_code=1&page={next_page}
gimb,환동해산업연구원,http://mire.re.kr/sub4_4.php?PHPSESSID=e90e1c5af211a879b62c46091ad71dce,http://mire.re.kr/sub4_4.php?PHPSESSID=e90e1c5af211a879b62c46091ad71dce&page={next_page}
cceiChungbuk,충북창조경제혁신센터,https://ccei.creativekorea.or.kr/chungbuk/custom/notice_list.do?,https://ccei.creativekorea.or.kr/chungbuk/custom/notice_list.do?&page={next_page}
gepaGwangju,광주광역시 기업지원시스템,http://203.251.57.106:82/jwsys_site/gepa/main.html,JavaScript pagination
dcb,(재)부산디자인진흥원,https://www.dcb.or.kr/01_news/?mcode=0401010000,JavaScript pagination
cceiGyeonggi,경기창조경제혁신센터,https://ccei.creativekorea.or.kr/gyeonggi/custom/notice_list.do?&sPtime=all&page=1,https://ccei.creativekorea.or.kr/gyeonggi/custom/notice_list.do?&sPtime=all&page={next_page}
jbf,(재)전남바이오진흥원,http://www.jbf.kr/main/board.action?cmsid=101050200000,JavaScript pagination
cepaMarket,충남경제진흥원-공지사항,https://www.cepa.or.kr/notice/notice.do?pm=6&ms=32,JavaScript pagination
cheongjucci,청주상공회의소,https://cheongjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10701&menuId=1561,JavaScript pagination
gib,경북바이오산업연구원,https://gib.re.kr/module/bbs/list.php?mid=/news/notice,https://gib.re.kr/module/bbs/list.php?mid=/news/notice&page={next_page}
gbtpinfo,경북테크노파크 - 일반공고,https://gbtp.or.kr/user/board.do?bbsId=BBSMSTR_000000000023,https://gbtp.or.kr/user/board.do?bbsId=BBSMSTR_000000000023&pageIndex={next_page}
dgdc,대구경북디자인진흥원,https://dgdp.or.kr/notice/public,JavaScript pagination
cbcci,충남북부상공회의소,https://cbcci.korcham.net/front/board/boardContentsListPage.do?boardId=10413&menuId=3382,JavaScript pagination
exportvoucher,수출지원기반활용사업,https://www.exportvoucher.com/portal/board/boardList?bbs_id=1,https://www.exportvoucher.com/portal/board/boardList?bbs_id=1&page={next_page}
dgmif,대구경북첨단의료산업진흥재단,https://www.kmedihub.re.kr/index.do?menu_id=00000063,JavaScript pagination
jepa,전라남도중소기업일자리경제진흥원-공지사항,https://www.jepa.kr/bbs/?b_id=notice&site=new_jepa&mn=426,https://www.jepa.kr/bbs/?b_id=notice&site=new_jepa&mn=426&page={next_page}
smtech,중소기업 기술개발사업 종합관리시스템,https://www.smtech.go.kr/front/ifg/no/notice02,JavaScript pagination
kca,한국방송통신전파진흥원,https://www.kca.kr/boardList.do?boardId=NOTICE&pageId=www47,JavaScript pagination
itech,한국산업기술기획평가원,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmListView.do?prgmId=XPG201040000&rcveStatus=A,JavaScript pagination
cceiJeju,제주창조경제혁신센터,https://ccei.creativekorea.or.kr/jeju/custom/notice_list.do?,https://ccei.creativekorea.or.kr/jeju/custom/notice_list.do?&page={next_page}
kdata,한국데이터산업진흥원,https://www.kdata.or.kr/kr/board/notice_01/boardList.do,JavaScript pagination
koema,한국전기산업진흥회,https://www.koema.or.kr/koema/report/total_notice.html,JavaScript pagination
cnsp,충남경제진흥원-사업공고,https://www.cnsp.or.kr/project/list.do,JavaScript pagination
jbsos,전북소상공인광역지원센터((재)전북특별자치도경제통상진흥원),https://www.jbsos.or.kr/bbs/board.php?bo_table=s_sub04_01,https://www.jbsos.or.kr/bbs/board.php?bo_table=s_sub04_01&page={next_page}
